logFC.t,AveExpr.t,t.t,P.Value.t,adj.P.Val.t,B.t,#NAME?,gene,ID,logFC.s,AveExpr.s,t.s,P.Value.s,adj.P.Val.s,B.s,#NAME?,UniProtID
1.811186102,8.229671266,3.909796353,0.003630504,0.12049644,-1.549146354,0.919025784,EMC8,sp|O43402|EMC8_HUMAN,0.345662473,8.314930015,0.591094573,0.568160002,0.914734232,-5.864906354,0.038705068,O43402
-1.606863862,14.47571552,-3.579531523,0.003825492,0.124478501,-1.789842069,0.904905651,TMX3,sp|Q96JJ7|TMX3_HUMAN,-0.49292563,14.8899984,-1.354234245,0.2015291,0.755926709,-5.269379039,0.12152031,Q96JJ7
-0.70686993,15.85026016,-3.581766705,0.003809877,0.124478501,-1.785961198,0.904905651,PSMD4,sp|P55036|PSMD4_HUMAN,0.011995154,15.81156483,0.059977639,0.953197315,0.989471316,-6.147947621,0.004596791,P55036
-0.657281971,24.10213972,-3.567551645,0.003910304,0.126002909,-1.810646835,0.899619427,SAMP,sp|P02743|SAMP_HUMAN,-0.434917096,24.18178907,-2.55401948,0.02590444,0.541810085,-3.496024148,0.266152915,P02743
0.408763563,19.35237067,3.561673968,0.003952616,0.126141644,-1.82085699,0.899141513,ANGL6,sp|Q8NI99|ANGL6_HUMAN,0.223355576,19.34963011,2.182455999,0.050486363,0.589635363,-4.097362396,0.229416478,Q8NI99
0.821609746,14.4610197,3.547946065,0.004053268,0.128121884,-1.844710636,0.892376685,UBTD2,sp|Q8WUN7|UBTD2_HUMAN,0.487200857,14.69959597,2.503992848,0.028363613,0.561815904,-3.578546315,0.250405971,Q8WUN7
-0.563716798,27.49310201,-3.534502127,0.004154376,0.129108347,-1.868079816,0.889045678,ITIH3,sp|Q06033|ITIH3_HUMAN,-0.503179883,27.53488688,-3.745396707,0.002972246,0.246622133,-1.490522986,0.60796795,Q06033
-0.810160496,14.24640997,-3.533465778,0.004162276,0.129108347,-1.869881625,0.889045678,CSN6,sp|Q7L5N1|CSN6_HUMAN,-0.347543424,14.36262457,-1.301050822,0.218563887,0.757046933,-5.332544132,0.120877196,Q7L5N1
-0.877585138,19.22793625,-3.522880953,0.004243847,0.12966508,-1.888287408,0.887176967,ACPH,sp|P13798|ACPH_HUMAN,-0.167660989,19.16411799,-0.668957225,0.516653251,0.907970132,-5.922141158,0.041928438,P13798
-0.590932858,16.6728834,-3.521019571,0.004258359,0.12966508,-1.891524667,0.887176967,PRS8,sp|P62195|PRS8_HUMAN,-0.017162519,16.66001429,-0.087325172,0.931906697,0.986917143,-6.145858008,0.005719307,P62195
-0.819353795,13.24835367,-3.491094136,0.004498745,0.131351776,-1.943590871,0.881564051,RL10,sp|P27635|RL10_HUMAN / sp|Q96L21|RL10L_HUMAN,-1.120505664,13.44473063,-4.03106846,0.00179116,0.212316394,-1.018439945,0.673016471,P27635
0.32599755,19.09331803,3.476580669,0.004620265,0.131351776,-1.968855712,0.881564051,CAMP,sp|P49913|CAMP_HUMAN,0.148474292,19.03745165,1.425681909,0.180387105,0.744074283,-5.181713411,0.128383705,P49913
0.673237936,12.97307317,3.471872601,0.0046604,0.131351776,-1.977053217,0.881564051,BASP1,sp|P80723|BASP1_HUMAN,-0.380295683,13.11185706,-1.385924159,0.191910378,0.752526853,-5.230884906,0.123477998,P80723
0.399101013,16.20935861,3.494142074,0.004473641,0.131351776,-1.938286138,0.881564051,MICA1,sp|Q8TDZ2|MICA1_HUMAN,0.1986598,16.28641913,1.290399956,0.222112821,0.757046933,-5.344972468,0.120877196,Q8TDZ2
